Time=550000 | PC=0x00000068 | Instr=0xxxxxxxxx | rd_wb=x
Time=560000 | PC=0x0000006c | Instr=0xxxxxxxxx | rd_wb=x
Time=570000 | PC=0x0000006c | Instr=0xxxxxxxxx | rd_wb=x
Time=580000 | PC=0x00000070 | Instr=0xxxxxxxxx | rd_wb=x
Time=590000 | PC=0x00000070 | Instr=0xxxxxxxxx | rd_wb=x
Time=600000 | PC=0x00000074 | Instr=0xxxxxxxxx | rd_wb=x
Time=610000 | PC=0x00000074 | Instr=0xxxxxxxxx | rd_wb=x
Time=620000 | PC=0x00000078 | Instr=0xxxxxxxxx | rd_wb=x
Time=630000 | PC=0x00000078 | Instr=0xxxxxxxxx | rd_wb=x
Time=640000 | PC=0x0000007c | Instr=0xxxxxxxxx | rd_wb=x
Time=650000 | PC=0x0000007c | Instr=0xxxxxxxxx | rd_wb=x
Time=660000 | PC=0x00000080 | Instr=0xxxxxxxxx | rd_wb=x
Time=670000 | PC=0x00000080 | Instr=0xxxxxxxxx | rd_wb=x
Time=680000 | PC=0x00000084 | Instr=0xxxxxxxxx | rd_wb=x
Time=690000 | PC=0x00000084 | Instr=0xxxxxxxxx | rd_wb=x
Time=700000 | PC=0x00000088 | Instr=0xxxxxxxxx | rd_wb=x
Time=710000 | PC=0x00000088 | Instr=0xxxxxxxxx | rd_wb=x
Time=720000 | PC=0x0000008c | Instr=0xxxxxxxxx | rd_wb=x
Time=730000 | PC=0x0000008c | Instr=0xxxxxxxxx | rd_wb=x
Time=740000 | PC=0x00000090 | Instr=0xxxxxxxxx | rd_wb=x
Time=750000 | PC=0x00000090 | Instr=0xxxxxxxxx | rd_wb=x
Time=760000 | PC=0x00000094 | Instr=0xxxxxxxxx | rd_wb=x
Time=770000 | PC=0x00000094 | Instr=0xxxxxxxxx | rd_wb=x
Time=780000 | PC=0x00000098 | Instr=0xxxxxxxxx | rd_wb=x
Time=790000 | PC=0x00000098 | Instr=0xxxxxxxxx | rd_wb=x
Time=800000 | PC=0x0000009c | Instr=0xxxxxxxxx | rd_wb=x
Time=810000 | PC=0x0000009c | Instr=0xxxxxxxxx | rd_wb=x
Time=820000 | PC=0x000000a0 | Instr=0xxxxxxxxx | rd_wb=x
Time=830000 | PC=0x000000a0 | Instr=0xxxxxxxxx | rd_wb=x
Time=840000 | PC=0x000000a4 | Instr=0xxxxxxxxx | rd_wb=x
Time=850000 | PC=0x000000a4 | Instr=0xxxxxxxxx | rd_wb=x
Time=860000 | PC=0x000000a8 | Instr=0xxxxxxxxx | rd_wb=x
Time=870000 | PC=0x000000a8 | Instr=0xxxxxxxxx | rd_wb=x
Time=880000 | PC=0x000000ac | Instr=0xxxxxxxxx | rd_wb=x
Time=890000 | PC=0x000000ac | Instr=0xxxxxxxxx | rd_wb=x
Time=900000 | PC=0x000000b0 | Instr=0xxxxxxxxx | rd_wb=x
Time=910000 | PC=0x000000b0 | Instr=0xxxxxxxxx | rd_wb=x
Time=920000 | PC=0x000000b4 | Instr=0xxxxxxxxx | rd_wb=x
Time=930000 | PC=0x000000b4 | Instr=0xxxxxxxxx | rd_wb=x
Time=940000 | PC=0x000000b8 | Instr=0xxxxxxxxx | rd_wb=x
Time=950000 | PC=0x000000b8 | Instr=0xxxxxxxxx | rd_wb=x
Time=960000 | PC=0x000000bc | Instr=0xxxxxxxxx | rd_wb=x
Time=970000 | PC=0x000000bc | Instr=0xxxxxxxxx | rd_wb=x
Time=980000 | PC=0x000000c0 | Instr=0xxxxxxxxx | rd_wb=x
Time=990000 | PC=0x000000c0 | Instr=0xxxxxxxxx | rd_wb=x
Time=1000000 | PC=0x000000c4 | Instr=0xxxxxxxxx | rd_wb=x
